,palavra,rec,pont
7846,iterações,10,0.03387295898819874
1060,grafo,6,0.033852750271717004
2870,cdc,14,0.033842831679364145
4546,manual,7,0.03383297824265972
314,developed,2,0.033731583876350245
2947,cray-1,12,0.03370280612116701
1664,tetraedro,9,0.033652945401256934
759,223,4,0.033630106719012814
4233,depuração,4,0.03359370532149845
1642,mrf,28,0.03358746265840442
1045,2.19,5,0.03356259450642914
1738,sol,6,0.033557761982137245
9341,vol,5,0.033526919228002085
7437,segundos,1,0.03352421758202842
7572,y=0,3,0.03340116791267773
3162,1962,3,0.033346996112339364
1250,hipercolunas,4,0.0333402907479808
1775,folhas,35,0.03331922069506275
838,305,4,0.03331638466635457
3981,diretório,8,0.033274739569938094
7440,2.0,12,0.03326843499956269
1446,6.20,4,0.033202009849815084
9432,45(1):82-89,2,0.03318421537531414
9455,macaque,2,0.03318421537531414
9413,princeton,2,0.03318421537531414
1790,8.27,4,0.03316443565000963
5036,celulares,8,0.03316115474415782
4245,primitiva,3,0.03315530206047441
3525,etura,1,0.033117040850262895
3523,arqui,1,0.033117040850262895
1988,direito,6,0.033106506975436545
5330,cerebelo,3,0.033104550761199766
7746,gerig,4,0.03303453374817081
7747,klein,4,0.03303453374817081
454,misd,7,0.03302829735499731
7815,besag,4,0.03302817691635548
3056,cyber,5,0.03299133283475882
3504,fi,9,0.032949900766316195
1245,lgn,53,0.03288675758339635
3520,mn,4,0.03286357369083696
8759,ampl,1,0.03285104052214833
8758,niveis,1,0.03285104052214833
8756,357,1,0.03285104052214833
8757,especificado,1,0.03285104052214833
8755,aproveitar,1,0.03285104052214833
8754,particionado,1,0.03285104052214833
378,model,4,0.03280258991474923
5664,verde,8,0.03279642233721379
4500,pressman,9,0.032611529049272454
7708,puta,1,0.03258927924308739
9669,snow,2,0.03258927924308739
9670,camera,2,0.03258927924308739
9674,plant,2,0.03258927924308739
